Name,Brand Name,Year of Manufacture,Distance Traveled,Fuel Type,Owner Type,Price
Maruti Ciaz DELTA 1.4 MT PETROL,Maruti,2017,"1,05,815 km",Petrol,2nd owner,₹5.68L
Hyundai Elite i20 ASTA 1.2 (O),Hyundai,2017,"65,743 km",Petrol,1st owner,₹7.16L
Jeep Compass LONGITUDE (O) 1.4 PETROL AT,Jeep,2017,"71,324 km",Petrol,2nd owner,₹14.41L
Maruti Swift ZDI AMT,Maruti,2017,"94,745 km",Diesel,1st owner,₹6.58L
Maruti Ciaz DELTA 1.5 SHVS MT PETROL,Maruti,2017,"61,765 km",Petrol,2nd owner,₹7.43L
Hyundai i10 MAGNA 1.1,Hyundai,2017,"36,480 km",Petrol,1st owner,₹3.12L
Maruti Celerio VXI AMT,Maruti,2017,"69,973 km",Petrol,2nd owner,₹3.81L
Hyundai Creta SX (O) IVT 1.5 PETROL,Hyundai,2017,"26,720 km",Petrol,1st owner,₹15.31L
Honda Brio V MT,Honda,2017,"61,406 km",Petrol,2nd owner,₹3.04L
Nissan MAGNITE XV PREMIUM TURBO CVT DUAL TONE,Nissan,2017,"34,210 km",Petrol,1st owner,₹8.63L
Hyundai i10 MAGNA 1.1,Hyundai,2017,"49,024 km",Petrol,1st owner,₹3.19L
Maruti S PRESSO LXI (O) CNG,Maruti,2017,"80,265 km",CNG,1st owner,₹4.86L
Maruti Alto K10 VXI,Maruti,2017,"72,134 km",Petrol,1st owner,₹1.83L
Hyundai Eon MAGNA +,Hyundai,2017,"75,822 km",Petrol,1st owner,₹2.97L
